"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.name.uniq"	"Gene.description"	"Source.of.gene.name"
"4731"	"ENSDARG00000102474"	"dusp16"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2360\")"	"dusp16"	"dual specificity phosphatase 16 [Source:ZFIN;Acc:ZDB-GENE-040426-2360]"	"ZFIN"
"4732"	"ENSDARG00000104049"	"crebl2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-456\")"	"crebl2"	"cAMP responsive element binding protein-like 2 [Source:ZFIN;Acc:ZDB-GENE-040718-456]"	"ZFIN"
"4733"	"ENSDARG00000102226"	"gpr19"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1295\")"	"gpr19"	"G protein-coupled receptor 19 [Source:ZFIN;Acc:ZDB-GENE-040426-1295]"	"ZFIN"
"4734"	"ENSDARG00000103095"	"tbk1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060512-359\")"	"tbk1"	"TANK-binding kinase 1 [Source:ZFIN;Acc:ZDB-GENE-060512-359]"	"ZFIN"
"4735"	"ENSDARG00000102128"	"eps8a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-871\")"	"eps8a"	"epidermal growth factor receptor pathway substrate 8a [Source:ZFIN;Acc:ZDB-GENE-040426-871]"	"ZFIN"
"4736"	"ENSDARG00000110470"	"ptpro"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-54\")"	"ptpro"	"protein tyrosine phosphatase receptor type O [Source:ZFIN;Acc:ZDB-GENE-070424-54]"	"ZFIN"
"4737"	"ENSDARG00000100422"	"ptpro"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-54\")"	"ptpro*1"	"protein tyrosine phosphatase receptor type O [Source:ZFIN;Acc:ZDB-GENE-070424-54]"	"ZFIN"
"4739"	"ENSDARG00000100660"	"si:ch73-252i11.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141210-7\")"	"si:ch73-252i11.1"	"si:ch73-252i11.1 [Source:ZFIN;Acc:ZDB-GENE-141210-7]"	"ZFIN"
"4742"	"ENSDARG00000112451"	"FO834823.1"	"=HYPERLINK(\"https://zfin.org/\")"	"FO834823.1"	""	"Clone-based (Ensembl) gene"
"4743"	"ENSDARG00000070546"	"msgn1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030722-1\")"	"msgn1"	"mesogenin 1 [Source:ZFIN;Acc:ZDB-GENE-030722-1]"	"ZFIN"
"4744"	"ENSDARG00000045914"	"si:ch211-51e12.7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8279\")"	"si:ch211-51e12.7"	"si:ch211-51e12.7 [Source:ZFIN;Acc:ZDB-GENE-030131-8279]"	"ZFIN"
"4745"	"ENSDARG00000045913"	"mrps10"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040914-39\")"	"mrps10"	"mitochondrial ribosomal protein S10 [Source:ZFIN;Acc:ZDB-GENE-040914-39]"	"ZFIN"
"4746"	"ENSDARG00000045911"	"tulp4a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-215\")"	"tulp4a"	"TUB like protein 4a [Source:ZFIN;Acc:ZDB-GENE-060503-215]"	"ZFIN"
"4747"	"ENSDARG00000045910"	"tmem181"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-309\")"	"tmem181"	"transmembrane protein 181 [Source:ZFIN;Acc:ZDB-GENE-060503-309]"	"ZFIN"
"4748"	"ENSDARG00000045909"	"dynlt1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-9\")"	"dynlt1"	"dynein, light chain, Tctex-type 1 [Source:ZFIN;Acc:ZDB-GENE-041210-9]"	"ZFIN"
"4749"	"ENSDARG00000025073"	"rpl18a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1071\")"	"rpl18a"	"ribosomal protein L18a [Source:ZFIN;Acc:ZDB-GENE-040426-1071]"	"ZFIN"
"4750"	"ENSDARG00000084828"	"BX890562.1"	"=HYPERLINK(\"https://zfin.org/\")"	"BX890562.1"	""	"Clone-based (Ensembl) gene"
"4755"	"ENSDARG00000031737"	"pthlha"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050119-9\")"	"pthlha"	"parathyroid hormone-like hormone a [Source:ZFIN;Acc:ZDB-GENE-050119-9]"	"ZFIN"
"4756"	"ENSDARG00000099652"	"xpot"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-4\")"	"xpot"	"exportin, tRNA (nuclear export receptor for tRNAs) [Source:ZFIN;Acc:ZDB-GENE-041210-4]"	"ZFIN"
"4757"	"ENSDARG00000101047"	"rtcb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2096\")"	"rtcb"	"RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:ZFIN;Acc:ZDB-GENE-040426-2096]"	"ZFIN"
"4759"	"ENSDARG00000099833"	"fbxo7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050913-68\")"	"fbxo7"	"F-box protein 7 [Source:ZFIN;Acc:ZDB-GENE-050913-68]"	"ZFIN"
"4760"	"ENSDARG00000103870"	"CU855889.2"	"=HYPERLINK(\"https://zfin.org/\")"	"CU855889.2"	""	"Clone-based (Ensembl) gene"
"4761"	"ENSDARG00000096118"	"ost4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110307-1\")"	"ost4"	"oligosaccharyltransferase complex subunit 4 (non-catalytic) [Source:ZFIN;Acc:ZDB-GENE-110307-1]"	"ZFIN"
"4762"	"ENSDARG00000045900"	"agbl5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040822-29\")"	"agbl5"	"ATP/GTP binding protein-like 5 [Source:ZFIN;Acc:ZDB-GENE-040822-29]"	"ZFIN"
"4763"	"ENSDARG00000016968"	"tmem214"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110307-2\")"	"tmem214"	"transmembrane protein 214 [Source:ZFIN;Acc:ZDB-GENE-110307-2]"	"ZFIN"
"4764"	"ENSDARG00000102878"	"mapre3b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040704-6\")"	"mapre3b"	"microtubule-associated protein, RP/EB family, member 3b [Source:ZFIN;Acc:ZDB-GENE-040704-6]"	"ZFIN"
"4765"	"ENSDARG00000059311"	"dpysl5b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050720-4\")"	"dpysl5b"	"dihydropyrimidinase like 5b [Source:ZFIN;Acc:ZDB-GENE-050720-4]"	"ZFIN"
"4766"	"ENSDARG00000017386"	"sobpb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-8\")"	"sobpb"	"sine oculis binding protein homolog (Drosophila) b [Source:ZFIN;Acc:ZDB-GENE-041210-8]"	"ZFIN"
"4767"	"ENSDARG00000045898"	"si:ch211-152c2.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9914\")"	"si:ch211-152c2.3"	"si:ch211-152c2.3 [Source:ZFIN;Acc:ZDB-GENE-030131-9914]"	"ZFIN"
"4768"	"ENSDARG00000006060"	"crybg1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7179\")"	"crybg1b"	"crystallin beta-gamma domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-030131-7179]"	"ZFIN"
"4771"	"ENSDARG00000070535"	"ripply2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060113-2\")"	"ripply2"	"ripply transcriptional repressor 2 [Source:ZFIN;Acc:ZDB-GENE-060113-2]"	"ZFIN"
"4773"	"ENSDARG00000063686"	"atp23"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070410-102\")"	"atp23"	"ATP23 metallopeptidase and ATP synthase assembly factor homolog [Source:ZFIN;Acc:ZDB-GENE-070410-102]"	"ZFIN"
"4774"	"ENSDARG00000087962"	"rpap3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-928\")"	"rpap3"	"RNA polymerase II associated protein 3 [Source:ZFIN;Acc:ZDB-GENE-040426-928]"	"ZFIN"
"4775"	"ENSDARG00000099313"	"naga"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051113-256\")"	"naga"	"N-acetylgalactosaminidase, alpha [Source:ZFIN;Acc:ZDB-GENE-051113-256]"	"ZFIN"
"4776"	"ENSDARG00000103102"	"FQ378018.1"	"=HYPERLINK(\"https://zfin.org/\")"	"FQ378018.1"	""	"Clone-based (Ensembl) gene"
"4777"	"ENSDARG00000104018"	"mtpn"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2166\")"	"mtpn"	"myotrophin [Source:ZFIN;Acc:ZDB-GENE-040426-2166]"	"ZFIN"
"4778"	"ENSDARG00000102157"	"si:ch211-117i20.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131121-573\")"	"si:ch211-117i20.2"	"si:ch211-117i20.2 [Source:ZFIN;Acc:ZDB-GENE-131121-573]"	"ZFIN"
"4779"	"ENSDARG00000098612"	"chrm2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030314-1\")"	"chrm2a"	"cholinergic receptor, muscarinic 2a [Source:ZFIN;Acc:ZDB-GENE-030314-1]"	"ZFIN"
"4781"	"ENSDARG00000102340"	"ptn"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030624-1\")"	"ptn"	"pleiotrophin [Source:ZFIN;Acc:ZDB-GENE-030624-1]"	"ZFIN"
"4782"	"ENSDARG00000111388"	"CABZ01068469.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01068469.1"	"UPF2 regulator of nonsense mediated mRNA decay [Source:NCBI gene;Acc:569006]"	"Clone-based (Ensembl) gene"
"4784"	"ENSDARG00000063672"	"zmp:0000000711"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-714\")"	"zmp:0000000711"	"zmp:0000000711 [Source:ZFIN;Acc:ZDB-GENE-130530-714]"	"ZFIN"
"4785"	"ENSDARG00000018149"	"slc38a4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-14\")"	"slc38a4"	"solute carrier family 38 member 4 [Source:ZFIN;Acc:ZDB-GENE-041010-14]"	"ZFIN"
"4787"	"ENSDARG00000045886"	"slc38a2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9659\")"	"slc38a2"	"solute carrier family 38 member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9659]"	"ZFIN"
"4788"	"ENSDARG00000045885"	"scaf11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-22\")"	"scaf11"	"SR-related CTD-associated factor 11 [Source:ZFIN;Acc:ZDB-GENE-041210-22]"	"ZFIN"
"4789"	"ENSDARG00000007413"	"arid2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6311\")"	"arid2"	"AT rich interactive domain 2 (ARID, RFX-like) [Source:ZFIN;Acc:ZDB-GENE-030131-6311]"	"ZFIN"
"4790"	"ENSDARG00000097341"	"CR847994.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CR847994.1"	""	"Clone-based (Ensembl) gene"
"4791"	"ENSDARG00000045880"	"gas2l3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2560\")"	"gas2l3"	"growth arrest-specific 2 like 3 [Source:ZFIN;Acc:ZDB-GENE-030131-2560]"	"ZFIN"
"4792"	"ENSDARG00000009657"	"fgfr1op2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7451\")"	"fgfr1op2"	"FGFR1 oncogene partner 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7451]"	"ZFIN"
"4793"	"ENSDARG00000093658"	"tm7sf3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1770\")"	"tm7sf3"	"transmembrane 7 superfamily member 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1770]"	"ZFIN"
"4794"	"ENSDARG00000026839"	"med21"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2763\")"	"med21"	"mediator complex subunit 21 [Source:ZFIN;Acc:ZDB-GENE-040426-2763]"	"ZFIN"
"4795"	"ENSDARG00000016979"	"pmpcb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050220-10\")"	"pmpcb"	"peptidase (mitochondrial processing) beta [Source:ZFIN;Acc:ZDB-GENE-050220-10]"	"ZFIN"
"4796"	"ENSDARG00000070477"	"dnajc2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1912\")"	"dnajc2"	"DnaJ (Hsp40) homolog, subfamily C, member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1912]"	"ZFIN"
"4797"	"ENSDARG00000045878"	"nudt4b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040912-79\")"	"nudt4b"	"nudix (nucleoside diphosphate linked moiety X)-type motif 4b [Source:ZFIN;Acc:ZDB-GENE-040912-79]"	"ZFIN"
"4798"	"ENSDARG00000045877"	"ube2nb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1291\")"	"ube2nb"	"ubiquitin-conjugating enzyme E2Nb [Source:ZFIN;Acc:ZDB-GENE-040426-1291]"	"ZFIN"
"4799"	"ENSDARG00000079391"	"mrpl42"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-101014-1\")"	"mrpl42"	"mitochondrial ribosomal protein L42 [Source:ZFIN;Acc:ZDB-GENE-101014-1]"	"ZFIN"
"4800"	"ENSDARG00000015921"	"pwp1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1049\")"	"pwp1"	"PWP1 homolog, endonuclein [Source:ZFIN;Acc:ZDB-GENE-040426-1049]"	"ZFIN"
"4801"	"ENSDARG00000099520"	"CU571163.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU571163.1"	""	"Clone-based (Ensembl) gene"
"4802"	"ENSDARG00000061544"	"ano6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081104-64\")"	"ano6"	"anoctamin 6 [Source:ZFIN;Acc:ZDB-GENE-081104-64]"	"ZFIN"
"4807"	"ENSDARG00000009262"	"FAR2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-367\")"	"FAR2"	"fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]"	"HGNC Symbol"
"4808"	"ENSDARG00000018618"	"cpsf6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5277\")"	"cpsf6"	"cleavage and polyadenylation specific factor 6 [Source:ZFIN;Acc:ZDB-GENE-030131-5277]"	"ZFIN"
"4809"	"ENSDARG00000045874"	"yeats4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-252\")"	"yeats4"	"YEATS domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-040718-252]"	"ZFIN"
"4810"	"ENSDARG00000057468"	"kcnc2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070410-118\")"	"kcnc2"	"potassium voltage-gated channel, Shaw-related subfamily, member 2 [Source:ZFIN;Acc:ZDB-GENE-070410-118]"	"ZFIN"
"4811"	"ENSDARG00000045873"	"frs2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-462\")"	"frs2a"	"fibroblast growth factor receptor substrate 2a [Source:ZFIN;Acc:ZDB-GENE-060503-462]"	"ZFIN"
"4812"	"ENSDARG00000079143"	"si:ch73-278m9.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141212-261\")"	"si:ch73-278m9.1"	"si:ch73-278m9.1 [Source:ZFIN;Acc:ZDB-GENE-141212-261]"	"ZFIN"
"4813"	"ENSDARG00000057714"	"cmah"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040704-33\")"	"cmah"	"cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:ZFIN;Acc:ZDB-GENE-040704-33]"	"ZFIN"
"4814"	"ENSDARG00000045224"	"glipr1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110309-2\")"	"glipr1a"	"GLI pathogenesis-related 1a [Source:ZFIN;Acc:ZDB-GENE-110309-2]"	"ZFIN"
"4815"	"ENSDARG00000011246"	"krr1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060623-10\")"	"krr1"	"KRR1 small subunit processome component homolog [Source:ZFIN;Acc:ZDB-GENE-060623-10]"	"ZFIN"
"4816"	"ENSDARG00000053709"	"si:ch73-89b15.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141212-224\")"	"si:ch73-89b15.3"	"si:ch73-89b15.3 [Source:ZFIN;Acc:ZDB-GENE-141212-224]"	"ZFIN"
"4817"	"ENSDARG00000099129"	"phlda1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-103\")"	"phlda1"	"pleckstrin homology-like domain, family A, member 1 [Source:ZFIN;Acc:ZDB-GENE-041010-103]"	"ZFIN"
"4818"	"ENSDARG00000101813"	"nap1l1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030516-2\")"	"nap1l1"	"nucleosome assembly protein 1-like 1 [Source:ZFIN;Acc:ZDB-GENE-030516-2]"	"ZFIN"
"4819"	"ENSDARG00000039724"	"OSBPL8"	"=HYPERLINK(\"https://zfin.org/\")"	"OSBPL8"	"oxysterol binding protein like 8 [Source:HGNC Symbol;Acc:HGNC:16396]"	"HGNC Symbol"
"4820"	"ENSDARG00000070441"	"zdhhc17"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-194\")"	"zdhhc17"	"zinc finger, DHHC-type containing 17 [Source:ZFIN;Acc:ZDB-GENE-070424-194]"	"ZFIN"
"4821"	"ENSDARG00000011961"	"csrp2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1863\")"	"csrp2"	"cysteine and glycine-rich protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1863]"	"ZFIN"
"4822"	"ENSDARG00000008986"	"e2f7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-3527\")"	"e2f7"	"E2F transcription factor 7 [Source:ZFIN;Acc:ZDB-GENE-030131-3527]"	"ZFIN"
"4823"	"ENSDARG00000008235"	"cog5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-47\")"	"cog5"	"component of oligomeric golgi complex 5 [Source:ZFIN;Acc:ZDB-GENE-041210-47]"	"ZFIN"
"4825"	"ENSDARG00000004592"	"gpr22a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-48\")"	"gpr22a"	"G protein-coupled receptor 22a [Source:ZFIN;Acc:ZDB-GENE-041210-48]"	"ZFIN"
"4826"	"ENSDARG00000006567"	"dus4l"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-233\")"	"dus4l"	"dihydrouridine synthase 4-like (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040801-233]"	"ZFIN"
"4827"	"ENSDARG00000016231"	"bcap29"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-468\")"	"bcap29"	"B cell receptor associated protein 29 [Source:ZFIN;Acc:ZDB-GENE-050522-468]"	"ZFIN"
"4828"	"ENSDARG00000016749"	"slco1c1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-50\")"	"slco1c1"	"solute carrier organic anion transporter family, member 1C1 [Source:ZFIN;Acc:ZDB-GENE-041210-50]"	"ZFIN"
"4829"	"ENSDARG00000004227"	"pde3a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-23\")"	"pde3a"	"phosphodiesterase 3A, cGMP-inhibited [Source:ZFIN;Acc:ZDB-GENE-041210-23]"	"ZFIN"
"4830"	"ENSDARG00000006038"	"aebp2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2885\")"	"aebp2"	"AE binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2885]"	"ZFIN"
"4831"	"ENSDARG00000045870"	"plekha5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-25\")"	"plekha5"	"pleckstrin homology domain containing, family A member 5 [Source:ZFIN;Acc:ZDB-GENE-041210-25]"	"ZFIN"
"4832"	"ENSDARG00000098551"	"CABZ01085700.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01085700.1"	""	"Clone-based (Ensembl) gene"
"4833"	"ENSDARG00000060248"	"fgd4b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110421-6\")"	"fgd4b"	"FYVE, RhoGEF and PH domain containing 4b [Source:ZFIN;Acc:ZDB-GENE-110421-6]"	"ZFIN"
"4834"	"ENSDARG00000017757"	"pik3cg"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2532\")"	"pik3cg"	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma [Source:ZFIN;Acc:ZDB-GENE-040426-2532]"	"ZFIN"
"4835"	"ENSDARG00000030598"	"nampta"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110420-1\")"	"nampta"	"nicotinamide phosphoribosyltransferase a [Source:ZFIN;Acc:ZDB-GENE-110420-1]"	"ZFIN"
"4836"	"ENSDARG00000077356"	"sypl1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110420-2\")"	"sypl1"	"synaptophysin-like 1 [Source:ZFIN;Acc:ZDB-GENE-110420-2]"	"ZFIN"
"4838"	"ENSDARG00000089860"	"atxn7l1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-383\")"	"atxn7l1"	"ataxin 7-like 1 [Source:ZFIN;Acc:ZDB-GENE-131127-383]"	"ZFIN"
"4839"	"ENSDARG00000097073"	"CU928073.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU928073.1"	""	"Clone-based (Ensembl) gene"
"4840"	"ENSDARG00000039843"	"znf800b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1166\")"	"znf800b"	"zinc finger protein 800b [Source:ZFIN;Acc:ZDB-GENE-040426-1166]"	"ZFIN"
"4841"	"ENSDARG00000077654"	"grm8a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110421-2\")"	"grm8a"	"glutamate receptor, metabotropic 8a [Source:ZFIN;Acc:ZDB-GENE-110421-2]"	"ZFIN"
"4844"	"ENSDARG00000033296"	"gpr37b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-264\")"	"gpr37b"	"G protein-coupled receptor 37b [Source:ZFIN;Acc:ZDB-GENE-041210-264]"	"ZFIN"
"4845"	"ENSDARG00000006283"	"waslb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-718\")"	"waslb"	"WASP like actin nucleation promoting factor b [Source:ZFIN;Acc:ZDB-GENE-040426-718]"	"ZFIN"
"4849"	"ENSDARG00000105162"	"CR293509.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CR293509.1"	""	"Clone-based (Ensembl) gene"
"4850"	"ENSDARG00000107526"	"smkr1"	"=HYPERLINK(\"https://zfin.org/\")"	"smkr1"	"small lysine rich protein 1 [Source:NCBI gene;Acc:103910385]"	"NCBI gene"
"4851"	"ENSDARG00000016691"	"cd9b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2768\")"	"cd9b"	"CD9 molecule b [Source:ZFIN;Acc:ZDB-GENE-040426-2768]"	"ZFIN"
"4852"	"ENSDARG00000101363"	"ano2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-62\")"	"ano2b"	"anoctamin 2b [Source:ZFIN;Acc:ZDB-GENE-060503-62]"	"ZFIN"
"4853"	"ENSDARG00000095042"	"CU468826.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU468826.1"	""	"Clone-based (Ensembl) gene"
"4855"	"ENSDARG00000115613"	"CU468826.3"	"=HYPERLINK(\"https://zfin.org/\")"	"CU468826.3"	"U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1-like [Source:NCBI gene;Acc:100331497]"	"Clone-based (Ensembl) gene"
"4856"	"ENSDARG00000059043"	"ntf3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031118-66\")"	"ntf3"	"neurotrophin 3 [Source:ZFIN;Acc:ZDB-GENE-031118-66]"	"ZFIN"
"4857"	"ENSDARG00000075281"	"tbc1d30"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2064\")"	"tbc1d30"	"TBC1 domain family, member 30 [Source:ZFIN;Acc:ZDB-GENE-030131-2064]"	"ZFIN"
"4858"	"ENSDARG00000023766"	"gnsa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050107-5\")"	"gnsa"	"glucosamine (N-acetyl)-6-sulfatase a [Source:ZFIN;Acc:ZDB-GENE-050107-5]"	"ZFIN"
"4859"	"ENSDARG00000097286"	"FP102892.1"	"=HYPERLINK(\"https://zfin.org/\")"	"FP102892.1"	""	"Clone-based (Ensembl) gene"
"4860"	"ENSDARG00000039356"	"zgc:194209"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081022-75\")"	"zgc:194209"	"zgc:194209 [Source:ZFIN;Acc:ZDB-GENE-081022-75]"	"ZFIN"
"4861"	"ENSDARG00000059064"	"rassf3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100422-9\")"	"rassf3"	"Ras association domain family member 3 [Source:ZFIN;Acc:ZDB-GENE-100422-9]"	"ZFIN"
"4863"	"ENSDARG00000090401"	"CABZ01020840.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01020840.1"	"apoptosis facilitator Bcl-2-like protein 14 [Source:NCBI gene;Acc:101885512]"	"Clone-based (Ensembl) gene"
"4864"	"ENSDARG00000063578"	"DGKI"	"=HYPERLINK(\"https://zfin.org/\")"	"DGKI"	"diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]"	"HGNC Symbol"
"4866"	"ENSDARG00000063563"	"creb3l2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070112-1542\")"	"creb3l2"	"cAMP responsive element binding protein 3-like 2 [Source:ZFIN;Acc:ZDB-GENE-070112-1542]"	"ZFIN"
"4867"	"ENSDARG00000039350"	"ssbp1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-340\")"	"ssbp1"	"single-stranded DNA binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-050417-340]"	"ZFIN"
"4868"	"ENSDARG00000073963"	"si:ch211-258f14.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070705-151\")"	"si:ch211-258f14.2"	"si:ch211-258f14.2 [Source:ZFIN;Acc:ZDB-GENE-070705-151]"	"ZFIN"
"4870"	"ENSDARG00000059053"	"slc13a4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-71\")"	"slc13a4"	"solute carrier family 13 member 4 [Source:ZFIN;Acc:ZDB-GENE-070424-71]"	"ZFIN"
"4871"	"ENSDARG00000092677"	"coa6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070705-152\")"	"coa6"	"cytochrome c oxidase assembly factor 6 [Source:ZFIN;Acc:ZDB-GENE-070705-152]"	"ZFIN"
"4872"	"ENSDARG00000020871"	"ptprz1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050506-100\")"	"ptprz1b"	"protein tyrosine phosphatase receptor type Z1b [Source:ZFIN;Acc:ZDB-GENE-050506-100]"	"ZFIN"
"4873"	"ENSDARG00000039346"	"ndufa5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050320-17\")"	"ndufa5"	"NADH:ubiquinone oxidoreductase subunit A5 [Source:ZFIN;Acc:ZDB-GENE-050320-17]"	"ZFIN"
"4874"	"ENSDARG00000101565"	"CU468917.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU468917.1"	""	"Clone-based (Ensembl) gene"
